,Company Name,Company Website,Company Add
0,Force Defence Academy NDA coaching in Indore,https://www.google.com/aclk?sa=l&ai=DChcSEwjppvfZvK36AhXVCSsKHaVvB8EYABAHGgJzZg&sig=AOD64_2FqRweN6sByzyjWSv6ghs3wixFGA&q=&ctype=99&ved=2ahUKEwja8e_ZvK36AhV81jgGHYfeAFgQhKwBegQIAhAc&adurl=,/aclk?sa=l&ai=DChcSEwjppvfZvK36AhXVCSsKHaVvB8EYABAIGgJzZg&sig=AOD64_2tfjsPa9Not0hhwfEmKj4Q71RECA&adurl=&ctype=50&q=
1,Maa Tutorial Defence Academy,https://www.google.com/aclk?sa=l&ai=DChcSEwjppvfZvK36AhXVCSsKHaVvB8EYABAAGgJzZg&sig=AOD64_1CbQyIF1xP7G1VTgBlRpLODaxmhQ&q=&ctype=99&ved=2ahUKEwja8e_ZvK36AhV81jgGHYfeAFgQhKwBegQIAhAz&adurl=,/aclk?sa=l&ai=DChcSEwjppvfZvK36AhXVCSsKHaVvB8EYABABGgJzZg&sig=AOD64_2GmaqsGcT9KqDUoCuGRQzdmR3YPQ&adurl=&ctype=50&q=
2,PROGRAMMERS POINT,http://www.programmerspoint.in/,"/maps/dir//PROGRAMMERS+POINT,+1st+Floor,+GD+Prime,+Bhawarkua+Main+Rd,+opposite+Petrol+Pump+NEXA+showroom,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd3edbca24ed:0xc8f8fbba0fed0cc8?sa=X"
3,IIC - Indore Institute of Computers(C/C++) By Shashank Sir,https://www.iicindore.com/,"/maps/dir//201,+IIC+-+Indore+Institute+of+Computers(C%2FC%2B%2B)+By+Shashank+Sir,+Shri+Balaji+Heights,+5-B,+Gita+Bhawan+Rd,+above+Ashirwad+Bhojnalay,+Rajgarh+Kothi,+Sqr,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd1d8a6bffe1:0x660908d5b039373f?sa=X"
4,LIVEWIRE INDORE,https://www.livewireindia.com/master-program-artificial-intelligence.php,"/maps/dir//LIVEWIRE+INDORE,+%23206,+2nd+Floor,+Fortune+Aura+Business+park+(+Kyro+Building+1,+Gurmeet+Nagar,+Bhanwarkua+Main+Road+Landmark-+Above+Nexa+Car+Showroom,+near+Apple+hospital,+Indore,+Madhya+Pradesh+452014/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd154bf92905:0x82e334880e4e7461?sa=X"
5,Universal Informatics,http://www.universalinformatics.com/,"/maps/dir//Universal+Informatics,+Abhay+Prashal+Building,+B-WING,+Race+Course+Rd,+opp.+IDA+Building,+Indore,+Madhya+Pradesh+452003/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd400a8df843:0x5410c632114a974e?sa=X"
6,INFOZONE - C & C++ | JAVA | Best Training Institute in Indore,http://www.infozonegroup.in/,"/maps/dir//INFOZONE+-+C+%26+C%2B%2B+%7C+JAVA+%7C+Best+Training+Institute+in+Indore,+2nd+FLOOR+203+ALANKAR+POINT+GEETA+BHAWAN+SUQARE,+AB+Rd,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd3bb999c607:0xb1b2a25b9d6da904?sa=X"
7,IOTA ACADEMY | Data Analytics & Placement Training Institute | Best Rated Institute in Indore,http://www.iotaacademy.in/,"/maps/dir//2nd+Floor,+IOTA+ACADEMY+%7C+Data+Analytics+%26+Placement+Training+Institute+%7C+Best+Rated+Institute+in+Indore,+AB+Rd,+above+Central+Coffee+House,+opp.+Sky+Heights,+Navlakha,+Chouraha,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd9ae800644f:0x22eb47a45caf1f4e?sa=X"
8,Vidyut Singhai Classes,https://www.infoviaan.com/,"/maps/dir//21,+Vidyut+Singhai+Classes,+10,+near+G.Sacchanand+Kala+Mandir,+Vijay+Nagar,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x396302abdab0a617:0x176dcad1e08b9f72?sa=X"
9,"Samyak Classes, Indore",http://www.samyakclasses.com/,"/maps/dir//Samyak+Classes,+Indore,+104,+2nd+Floor,+Shagun+Tower,+AB+Rd,+above+Apna+Sweets,+Near+C21+Mall,+Near+Vijay+Nagar+Square,+Indore,+Madhya+Pradesh+452010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fda14003335f:0xe1cad42b00acfe23?sa=X"
10,Prestige Point,https://prestigepoint.in/,"/maps/dir//Prestige+Point,+Rafael+Tower,+403-404,+Greater+Kailash+Road,+Near+Saket+Square,+New+Palasia,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd360fa596b5:0x746e43fe47e1c850?sa=X"
11,Best Ethical Hacking | Programming Institute in Indore India | Hakimi Infosec,http://hakimiinfosec.com/,"/maps/dir//Best+Ethical+Hacking+%7C+Programming+Institute+in+Indore+India+%7C+Hakimi+Infosec,+351,+Saifee+Nagar+Main+Rd,+Transport+Nagar,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fcfc3c43df81:0xfae15f615388056f?sa=X"
12,SSi Digital Academy,https://online.ssidigital.in/,"/maps/dir//SSi+Digital+Academy,+11,+Bhawarkua+Main+Rd,+Professor+Colony,+Indore,+Madhya+Pradesh+452014/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fd39a7275603:0xe1785f50b96c642f?sa=X"
13,Programming World By Pankaj Wadhwani,"https://www.google.com/search?tbs=lf:1,lf_ui:2&tbm=lcl&q=programming+coaching+in+indore&rflfq=1&num=10&sa=X&ved=2ahUKEwjNnOHWvK36AhX45DgGHTfdCOUQjGp6BAgNEAE&biw=865&bih=862&dpr=1#",0
14,Softwaves Technologies,"https://www.google.com/search?tbs=lf:1,lf_ui:2&tbm=lcl&q=programming+coaching+in+indore&rflfq=1&num=10&sa=X&ved=2ahUKEwjNnOHWvK36AhX45DgGHTfdCOUQjGp6BAgNEAE&biw=865&bih=862&dpr=1#",0
15,CTL Academy (Coden Technology Learning),http://ctl.academy/,"/maps/dir//CTL+Academy+(Coden+Technology+Learning),+Gold+Coin+Plaza,+Coden+Technology+Learning+(CTL+Indore+206,+above+Union+Bank,+near+Reliance+Digital,+Tower+Square,+Indore,+Madhya+Pradesh+452001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3962fcfcd6ffffff:0xd0d774caa9fc2cd6?sa=X"
